X,date,prec,snow,temp,aqi,co,no2,o3,pm10,pm,so2,t_asign,treat,hubei,day,month,year,daynum,north,city_code,judge,week,lead_lag_dummy
19737,20200226,0.584693597,124.6856725,-1.091926,49.333332,0.57,18.458334,57.541668,41.25,31.416666,12.833333,1,1,0,26,2,2020,8457,1,59283,1,3,3
20120,20200101,1.113917314,92.19961203,-9.01375,66.291664,0.90291667,38.25,34.875,58.666668,27.458334,19.916666,1,0,0,1,1,2020,8401,1,44687,1,-5,-4
20127,20200108,2.776411467,52.79791221,-6.5324454,35.458332,0.61333334,21,64,32.875,28.041666,15.25,1,0,0,8,1,2020,8408,1,44687,1,-4,-4
20134,20200115,2.628258307,90.32233542,-9.096297,132.625,1.3166666,51.958332,27.291666,85,82.416664,24.625,1,0,0,15,1,2020,8415,1,44687,1,-3,-3
20141,20200122,1.840961524,130.1791523,-2.026374,95,0.74421054,27.157894,47.157894,59.05263,46.526318,15.421053,1,0,0,22,1,2020,8422,1,44687,1,-2,-2
20148,20200129,1.202620765,83.32127721,-4.2479386,73.541664,0.82875,18.541666,83.166664,87.958336,68.208336,18.291666,1,0,0,29,1,2020,8429,1,44687,1,-1,-1
20155,20200205,2.16648161,75.28595795,-12.05163,35.25,0.45166668,12.916667,54.166668,31.083334,16.916666,11.5,1,1,0,5,2,2020,8436,1,44687,1,0,0
20162,20200212,1.545255261,79.24795405,3.6092737,51.833332,0.87041664,20.166666,86.958336,53.75,54.083332,15.375,1,1,0,12,2,2020,8443,1,44687,1,1,1
20169,20200219,0.985351113,60.70698044,-1.1861296,68.541664,0.97625,40.708332,44.458332,40.5,44.666668,14.75,1,1,0,19,2,2020,8450,1,44687,1,2,2
20176,20200226,0.748991591,108.772822,-0.38673985,35.5,0.51,15.833333,71.958336,39.041668,26.75,9.208333,1,1,0,26,2,2020,8457,1,44687,1,3,3
20559,20200101,1.732288147,96.12845532,-13.208178,119.166664,0.92583334,51.791668,25.083334,88.666664,63,23.5,1,0,0,1,1,2020,8401,1,9715,1,-5,-4
20566,20200108,6.034406408,139.1410773,-8.655593,63.666668,0.72249997,21.916666,81.291664,102,86.625,12.208333,1,0,0,8,1,2020,8408,1,9715,1,-4,-4
20573,20200115,2.634088097,96.05510875,-12.620074,185.875,1.37625,58.166668,36.416668,175.08333,148.41667,19.75,1,0,0,15,1,2020,8415,1,9715,1,-3,-3
20580,20200122,2.640506405,161.600655,-5.773738,109.63158,0.66210526,25.631578,74.68421,70.10526,47.526318,16.894737,1,0,0,22,1,2020,8422,1,9715,1,-2,-2
20587,20200129,1.919281365,93.17868032,-7.1893864,126.083336,1.3329166,25.125,117.458336,179.70833,151.08333,14.875,1,0,0,29,1,2020,8429,1,9715,1,-1,-1
20594,20200205,2.835020407,70.90389941,-15.698929,42.25,0.41208333,10.458333,55.541668,42.958332,22.166666,11.5,1,1,0,5,2,2020,8436,1,9715,1,0,0
20601,20200212,2.209336273,54.89465423,4.1006207,65.5,0.78000003,20.291666,109.041664,71.416664,55.375,15.541667,1,1,0,12,2,2020,8443,1,9715,1,1,1
